Vendor Code,Master SKU,SKU,Channel,Channel SKU,Identifier,Status (Active / Inactive)
204-QMQ,IM190518Q Yellow Unicorn Top-Skirt 8,Q Yellow Unicorn Top-Skirt 8,Amazon,Q Yellow Unicorn Top-Skirt 8,B0D9NYM9Y2,Active
204-QMQ,IM168398Ice-Cream Top and Skirt Pink 6,Ice-Cream Top and Skirt Pink 6,Amazon,Ice-Cream Top and Skirt Pink 6,B0CSFNF33H,Active
204-QMQ,IM190327Q Bubble Top & Short PURPLE 3,Q Bubble Top & Short PURPLE 3,Amazon,Q Bubble Top & Short PURPLE 3,B0D9Y47W1R,Active
204-QMQ,IM190496Q Pink Unicorn Top-Skirt 6,Q Pink Unicorn Top-Skirt 6,Amazon,Q Pink Unicorn Top-Skirt 6,B0D9NWTP8Z,Active
204-QMQ,IM190350Q Girls Leather skirt Brown-Black 5,Q Girls Leather skirt Brown-Black 5,Amazon,Q Girls Leather skirt Brown-Black 5,B0D9BFM9P6,Active
204-QMQ,IM168361Girls Leather skirt Brown-Velvet Red 8,Girls Leather skirt Brown-Velvet Red 8,Amazon,Girls Leather skirt Brown-Velvet Red 8,B0CQC2Z37V,Active
204-QMQ,IM168347Girls Colorful Top Denim pant 8,Girls Colorful Top Denim pant 8,Amazon,Girls Colorful Top Denim pant 8,B0CSFNC256,Active
204-QMQ,IM168395Ice-Cream Top and Skirt Pink 3,Ice-Cream Top and Skirt Pink 3,Amazon,Ice-Cream Top and Skirt Pink 3,B0CSFNCK79,Active
204-QMQ,IM190420Q KING HUDI RED 2,Q KING HUDI RED 2,Amazon,Q KING HUDI RED 2,B0D9W4R73W,Active
204-QMQ,IM190387Q Bubble Top & Short AQUA BLUE 3,Q Bubble Top & Short AQUA BLUE 3,Amazon,Q Bubble Top & Short AQUA BLUE 3,B0D9Y3QVPT,Active
204-QMQ,IM190524Q KING HUDI YELLOW 4,Q KING HUDI YELLOW 4,Amazon,Q KING HUDI YELLOW 4,B0D9W4MJDK,Active
204-QMQ,IM190519Q Girls Leather skirt Brown White 5,Q Girls Leather skirt Brown White 5,Amazon,Q Girls Leather skirt Brown White 5,B0D9P7Y6XQ,Active
204-QMQ,IM190480Q KING HUDI PISTA 2,Q KING HUDI PISTA 2,Amazon,Q KING HUDI PISTA 2,B0D9W4YD9K,Active
204-QMQ,IM190353Q Pocket Skirt top Black 6,Q Pocket Skirt top Black 6,Amazon,Q Pocket Skirt top Black 6,B0D9NWSKDC,Active
204-QMQ,IM190419Q Girls Leather skirt Brown-Black 2,Q Girls Leather skirt Brown-Black 2,Amazon,Q Girls Leather skirt Brown-Black 2,B0D9BH3LFM,Active
204-QMQ,IM190408Q Pocket Skirt top Black 7,Q Pocket Skirt top Black 7,Amazon,Q Pocket Skirt top Black 7,B0D9NX5QY4,Active
204-QMQ,IM168343Girls Colorful Top Denim pant 4,Girls Colorful Top Denim pant 4,Amazon,Girls Colorful Top Denim pant 4,B0CSFNSBG4,Active
204-QMQ,IM168374Girls Leather skirt Pink-Black 7,Girls Leather skirt Pink-Black 7,Amazon,Girls Leather skirt Pink-Black 7,B0CQC83DLT,Active
204-QMQ,IM190435Q Yellow Unicorn Top-Skirt 4,Q Yellow Unicorn Top-Skirt 4,Amazon,Q Yellow Unicorn Top-Skirt 4,B0D9NXPWPX,Active
204-QMQ,IM190508Q LEATHER SKIRT Pink-Black 6,Q LEATHER SKIRT Pink-Black 6,Amazon,Q LEATHER SKIRT Pink-Black 6,B0D9NXKMBK,Active
204-QMQ,IM168348Girls Leather skirt Brown-Black 2,Girls Leather skirt Brown-Black 2,Amazon,Girls Leather skirt Brown-Black 2,B0CQC4J7V5,Active
204-QMQ,IM190385Q Girls Leather skirt Brown-Velvet Red 6,Q Girls Leather skirt Brown-Velvet Red 6,Amazon,Q Girls Leather skirt Brown-Velvet Red 6,B0D9NW2Z8G,Active
204-QMQ,IM190503Q Pocket Skirt top Black 4,Q Pocket Skirt top Black 4,Amazon,Q Pocket Skirt top Black 4,B0D9NY4TX4,Active
